date,AAP,FB,GOOG,MSFT,^DJI
16/8/2013,78.85083682,37.1950016,428.1402283,27.13354925,15097.07471
19/8/2013,78.42401526,37.70999908,430.7479401,27.00565737,15055.90479
20/8/2013,78.76837921,38.13500023,432.29216,26.9715533,15033.54004
21/8/2013,79.25822964,38.5,434.2249146,27.09091692,14950.27002
22/8/2013,79.43282357,38.54500008,434.6209259,27.53425838,14944.06006
23/8/2013,79.99542458,39.78000069,435.3058624,29.49946993,14978.3999
26/8/2013,80.95572013,41.27999878,433.6122284,29.28632498,14997.61035
27/8/2013,79.60745427,40.30999947,426.3095856,28.66820329,14852.33496
28/8/2013,78.90418977,40.36499977,424.2049713,28.39111256,14813.90527
29/8/2013,78.70049383,41.28999901,425.6470642,28.30584652,14854.06006
30/8/2013,78.0166102,41.65999985,424.3095856,28.37831915,14805.29492
3/9/2013,77.96814536,41.83499908,428.4291382,27.00992278,14855.41504
4/9/2013,77.30369792,41.8049984,430.5536804,26.67741718,14877.91504
5/9/2013,77.69652583,42.27000046,436.2373657,26.5964231,14955.36963
6/9/2013,77.26002921,43.50500107,437.7392426,26.6518324,14899.62012
9/9/2013,77.24548469,44.24500084,441.3880615,26.85219829,15007.80029
10/9/2013,78.1718265,43.74499893,442.3419952,27.3637422,15129.68018
11/9/2013,78.71988206,44.10000038,444.0979156,27.90513809,15260.36475
12/9/2013,78.34642284,45.13500023,445.3083649,27.86676669,15314.29004
13/9/2013,77.52193989,44.50500107,443.4677734,27.95629303,15346.91504
16/9/2013,77.54134576,43.68499947,443.8040161,28.23338206,15465.61523
17/9/2013,77.41526368,43.93499947,440.6956635,28.29306531,15529.11035
18/9/2013,77.42001065,44.93500137,445.0916901,28.23338465,15589.87012
19/9/2013,78.37130019,45.63999939,448.6657867,28.56163251,15660.66992
20/9/2013,78.58485486,46.67000008,448.2573242,28.20780632,15551.42969
23/9/2013,77.74036394,46.92000008,445.0294342,27.90940193,15417.6001
24/9/2013,77.57532062,48.90999985,441.2211914,27.71756896,15380.44482
25/9/2013,78.40529102,49,438.8924255,27.79429811,15312.82031
26/9/2013,79.35661609,50.04999924,437.7965393,27.96055955,15330.80518
27/9/2013,79.36143051,50.56999969,435.5748596,28.39963642,15264.62988
30/9/2013,79.57986213,50.69999886,435.6545563,28.13960049,15168.26514
1/10/2013,80.83208748,50.23999977,440.2797241,28.52326407,15159.37012
2/10/2013,80.10889862,50.52499962,440.1452179,28.69804684,15113.68018
3/10/2013,79.64295645,49.8900013,439.9011536,28.7406716,15037.13037
4/10/2013,80.09922121,50.36499977,435.2460938,28.82166599,15028.16016
7/10/2013,79.79827567,50.84500122,432.9023743,28.5232532,14995.06494
